predicao_id,ciclo,hipotese,estatuto_probatorio,predicao,o_que_refutaria,teste_van_evera_previsto,indicador_operacional,fonte_prevista,data_registro,status
PR-C1-H32,c1,H3.2,fora_de_amostra,Fora de amostra: H3.2 prevê que a qualidade da leitura conjuntural dos atores explique eficácia estratégica. Em 1984 a oposição lê corretamente a abertura mas erra o cálculo do quórum da emenda; e acerta ao migrar para o Colégio Eleitoral. Prevê-se leitura conjuntural documentada nos próprios atores.,"Ausência de deliberação estratégica documentada — decisões tomadas por inércia ou reação, sem leitura conjuntural registrada — enfraqueceria H3.2 no caso em que a análise de conjuntura era prática corrente dos movimentos.",aro,Documentos de deliberação estratégica; timing das decisões,Arquivos de partidos e entidades; Diários do Congresso,2026-08-22,registrada
PR-C1-H33,c1,H3.3,fora_de_amostra,"Fora de amostra: H3.3 prevê conjuntura crítica onde EOP e DOS se abrem SIMULTANEAMENTE. Candidato em 1984: o comício da Candelária (10/04) ou o do Anhangabaú (16/04), como eventos que abrem visibilidade discursiva e pressão institucional ao mesmo tempo.","Se as aberturas de EOP e DOS forem sequenciais e distantes — DOS abrindo meses antes de qualquer inflexão institucional —, o modelo do evento bifuncional não se aplica e H3.3 fica restrita a 2013.",aro,Datas de inflexão dos indicadores de EOP e DOS por fase,cycle_phases.csv; cronologia validada,2026-08-22,registrada
PR-C1-H34,c1,H3.4,fora_de_amostra,"Fora de amostra. Unidade da hipótese: o ciclo como PRODUTOR de assimetria para o seguinte. Prevê-se que as Diretas Já produzam assimetria BAIXA — o frame democrático torna-se consenso, não clivagem — e portanto polarização baixa como legado, contrastando com 2013.",Assimetria discursiva alta e polarização documentada como legado de 1984 igualariam este ciclo a 2013 e removeriam a variação que H3.4 precisa para discriminar casos.,aro,Frames legitimados e proscritos após 1985; enquadramentos na Constituinte,Diários da ANC; acervos de imprensa,2026-08-22,registrada
PR-C1-H35,c1,H3.5,fora_de_amostra,"Fora de amostra e ELO CENTRAL do levantamento. Prevê-se que os legados institucionais das Diretas Já — Colégio Eleitoral, Constituinte, CF/1988 e eleição direta de 1989 — condicionem a EOP do Fora Collor, tornando possível tanto a eleição de Collor quanto o instrumento do impeachment previsto na nova Constituição.","Se a EOP de 1992 puder ser explicada sem referência aos legados de 1985-1989 — isto é, se os instrumentos mobilizados em 1992 forem anteriores ou independentes da CF/88 —, a cadeia postulada se rompe e H3.5 perde seu caso mais forte.",duplamente_decisivo,Dispositivos da CF/88 mobilizados em 1992; cadeia MI-C1-03 e MI-C1-04,Texto da CF/1988; Diários da ANC; TSE,2026-08-22,registrada
PR-C2-H11,c2,H1.1,ancora,Âncora da hipótese: sistema democraticamente aberto pós-CF/1988 viabiliza a mobilização de massa de 1992. Não constitui teste — a proposição foi formulada a partir deste caso.,"Nada neste ciclo pode refutar H1.1, porque a hipótese foi construída sobre ele. Serve para verificar consistência interna, não para testar.",palha_ao_vento,Pluralismo eleitoral pós-CF/88; acesso de movimentos a arenas institucionais,Câmara/Senado; TSE,2026-08-22,registrada
PR-C2-H12,c2,H1.2,ancora,"Âncora: aprovação de 71% para 9%, deserção parlamentar e inversão midiática precedendo o impeachment. Não é teste.",Nada neste ciclo refuta H1.2. O valor da linha é documental: elevar o placar de 441x38 a fonte de nível 1 no Diário da Câmara.,palha_ao_vento,Série de aprovação presidencial; votação nominal de 29/09/1992,"Diário da Câmara 30/09/1992, p. 22067",2026-08-22,registrada
PR-C2-H13,c2,H1.3,fora_de_amostra,"Fora de amostra: a tese classifica a repressão em 1992 como moderada. H1.3 prevê que, sendo moderada, ela NÃO tenha sido o motor da expansão — que deve ser explicada pela DOS (ética na política) e pela vulnerabilidade da elite.","Se a maior inflexão de escala do ciclo coincidir com episódio repressivo, e não com marco do processo no Congresso, o motor da expansão é repressivo e H1.3 se aplica onde a tese diz que não se aplica.",palha_ao_vento,Feridos e detidos; variação de participantes antes e depois,Bancos de eventos; registros institucionais,2026-08-22,registrada
PR-C2-H14,c2,H1.4,ancora,"Âncora: PT, PDT, CUT e Igreja como aliados. Não é teste.",Nada neste ciclo refuta H1.4.,palha_ao_vento,Partidos e entidades que apoiam publicamente,Diários do Congresso,2026-08-22,registrada
PR-C2-H21,c2,H2.1,fora_de_amostra,Fora de amostra: a tese descreve cobertura ampla com controle estatal de algumas narrativas. H2.1 prevê que o campo hegemônico discursivo tenha direcionado o desfecho.,"Se o frame vencedor ('ética na política') tiver origem em atores SEM controle dos meios — movimento estudantil, entidades civis — e ainda assim vencer, a hegemonia dos meios não é o que direciona o ciclo.",aro,Enquadramento das revistas semanais; origem social do frame vencedor,Acervos de imprensa; documentos de entidades,2026-08-22,registrada
PR-C2-H22,c2,H2.2,fora_de_amostra,Fora de amostra: frame único ('ética na política') e resultado institucional definido em quatro meses. Confirma por contraposição.,"Multiplicidade de frames incompatíveis documentada em 1992, com resultado ainda assim definido, refutaria a hipótese.",aro,Heterogeneidade de demandas nas manifestações,Bancos de eventos; acervos,2026-08-22,registrada
PR-C2-H23,c2,H2.3,ancora,Âncora: 'ética na política' alinhado ao ethos constituinte de 1988. Não é teste.,Nada neste ciclo refuta H2.3.,palha_ao_vento,Aceitação das demandas em pesquisas; composição das manifestações,Séries de opinião; bancos de eventos,2026-08-22,registrada
PR-C2-H24,c2,H2.4,fora_de_amostra,Fora de amostra: prevê-se que o frame da ética na política tenha lastro discursivo anterior — construído na Constituinte e na campanha de 1989 — e não tenha sido criado em 1992.,"Frame surgido integralmente durante o ciclo, sem lastro discursivo anterior identificável, refutaria H2.4 neste caso.",aro,Cobertura editorial acumulada 1989-1991,Acervos de imprensa,2026-08-22,registrada
PR-C2-H25,c2,H2.5,fora_de_amostra,"Fora de amostra: a candidata é a indignação moral legitimada como emoção cívica, expressa no luto encenado do Domingo Negro e no repertório dos caras-pintadas.","Repertório emocional idêntico ao de ciclos anteriores, sem legitimação de emoção nova, refutaria a aplicação de H2.5 a este ciclo.",palha_ao_vento,Enquadramentos emocionais; inovação de repertório expressivo,Acervos; bancos de eventos,2026-08-22,registrada
PR-C2-H31,c2,H3.1,ancora,Âncora: este ciclo define o padrão 'convergente' da tipologia. Não é teste.,Nada neste ciclo refuta H3.1 — os três padrões foram derivados destes casos.,palha_ao_vento,Indicadores combinados de EOP e DOS,cycle_phases.csv,2026-08-22,registrada
PR-C2-H32,c2,H3.2,fora_de_amostra,Fora de amostra: prevê-se leitura conjuntural correta pelos atores do MEP quanto ao timing da pressão sobre o Congresso.,Sucesso do ciclo apesar de leitura conjuntural documentadamente equivocada refutaria a ligação entre qualidade da leitura e eficácia.,aro,Documentos de deliberação; timing das mobilizações face ao calendário do processo,Arquivos de entidades estudantis; Diários do Congresso,2026-08-22,registrada
PR-C2-H33,c2,H3.3,fora_de_amostra,"Fora de amostra: candidato bifuncional é o depoimento do motorista Eriberto França na CPMI (jul/1992), que abre simultaneamente a via institucional e a narrativa pública.",Aberturas de EOP e DOS em momentos distintos e sem evento comum refutariam a aplicação de H3.3 a este ciclo.,aro,Datas de inflexão; marcos da CPMI,Diários do Congresso; relatório da CPMI,2026-08-22,registrada
PR-C2-H34,c2,H3.4,fora_de_amostra,"Fora de amostra: prevê-se assimetria moderada — o frame da ética na política é apropriável por vários campos, e o legado é de desconfiança difusa, não de clivagem entre campos.","Clivagem bipolar documentada como legado de 1992, análoga à de 2013-16, refutaria a gradação que a hipótese pressupõe.",aro,Frames disponíveis e proscritos no ciclo seguinte,Acervos de imprensa,2026-08-22,registrada
PR-C2-H35,c2,H3.5,fora_de_amostra,"Fora de amostra: prevê-se que os legados do Fora Collor — Lei 8.429/1992, normalização do impeachment como instrumento — condicionem ciclos posteriores, ainda que o ciclo seguinte da série esteja a duas décadas de distância.",Ausência de qualquer instrumento institucional criado em 1992-93 mobilizado nos ciclos posteriores enfraqueceria a generalidade de H3.5 fora de pares adjacentes.,aro,Normas produzidas em 1992-93 e seu uso posterior,DOU; Diários do Congresso,2026-08-22,registrada
PR-C3-H11,c3,H1.1,fora_de_amostra,"Teste severo: a tese registra, via Avritzer, que 2011-2013 foi período de RUPTURA do campo da participação social. Se H1.1 vale, deve-se encontrar abertura institucional preservada apesar dessa ruptura; se o que se encontra é fechamento de canais participativos com mobilização máxima, a relação postulada se inverte.","Indicadores oficiais de acesso (conferências nacionais, conselhos ativos, audiências públicas) em queda entre 2011 e 2013, com mobilização atingindo o maior patamar da série, refutam H1.1 na direção proposta.",aro,Número de conferências nacionais e conselhos ativos; audiências públicas; acesso de movimentos a arenas federais,Secretaria-Geral da Presidência; DOU; portais Câmara/Senado,2026-08-22,registrada
PR-C3-H12,c3,H1.2,fora_de_amostra,Teste fora de amostra: em 2013 a mobilização é a maior da série e NÃO produz resultado institucional dirigido ao Executivo federal. H1.2 prevê que isso decorra de vulnerabilidade baixa da elite governante no momento do pico.,"Se os indicadores de vulnerabilidade (aprovação, base parlamentar) já estiverem deteriorados em junho de 2013 e ainda assim não houver resultado institucional, então vulnerabilidade não é suficiente e a moderação da DOS precisa fazer todo o trabalho — o que reduz H1.2 a H2.2.",aro,Aprovação presidencial jun-jul/2013; tamanho e coesão da base parlamentar,"Séries de opinião (nível 3, declarado); composição da base no Congresso",2026-08-22,registrada
PR-C3-H13,c3,H1.3,ancora,Âncora: repressão de 13/06/2013 seguida de inversão narrativa e salto de 5 mil para 1 milhão. Não é teste.,"Nada neste ciclo refuta H1.3. Valor: recuperar em fonte oficial os números de feridos e detidos, hoje sustentados por imprensa.",palha_ao_vento,Feridos/detidos em 13/06/2013; tom da cobertura pós-repressão,Ouvidoria da Polícia de SP; Defensoria; relatórios oficiais,2026-08-22,registrada
PR-C3-H14,c3,H1.4,fora_de_amostra,"Fora de amostra e potencialmente refutador: 2013 é caracterizado como antipartidário, com recusa explícita de bandeiras. H1.4 prevê que a ausência de aliados intrainstitucionais reduza a heterogeneidade da coalizão — mas o observado é heterogeneidade ALTA sem aliados.","Coalizão altamente heterogênea documentada em 2013 na ausência de aliados intrainstitucionais refuta H1.4 como enunciada e exige reformulação: aliados podem ampliar, mas não são necessários.",aro,Presença ou expulsão de bandeiras partidárias; posição do Judiciário e do MP,Registros de eventos; manifestações institucionais,2026-08-22,registrada
PR-C3-H21,c3,H2.1,fora_de_amostra,"Fora de amostra: 2013 tem inversão de sinal da cobertura em 48h. H2.1 prevê que, com hegemonia discursiva instável, nenhum campo consiga direcionar o ciclo — o que converge com o resultado 'inacabado'.","Direção ideológica clara e sustentada do ciclo de 2013, apesar da instabilidade da cobertura, refutaria a ligação entre hegemonia discursiva e direção.",aro,Variação do enquadramento antes e depois de 13/06,Acervos de imprensa,2026-08-22,registrada
PR-C3-H22,c3,H2.2,ancora,"Âncora: coexistência de frames urbanos, anticorrupção, democratizante e moralizador produzindo resultado 'inacabado'. Não é teste.",Nada neste ciclo refuta H2.2.,palha_ao_vento,Número de demandas distintas; ausência de master frame,protest_events; NEPAC,2026-08-22,registrada
PR-C3-H23,c3,H2.3,fora_de_amostra,"Fora de amostra: o frame inicial (tarifa) é setorial e de baixa ressonância normativa geral, mas o recrutamento é o maior da série. H2.3 prevê que a ampliação só ocorra APÓS a substituição do frame por um mais ressonante.","Recrutamento máximo alcançado ainda sob o frame tarifário, antes da coalescência para pautas amplas, refutaria a relação entre ressonância normativa e amplitude.",arma_fumegante,Sequência temporal entre mudança de frame e salto de participantes,protest_events; NEPAC,2026-08-22,registrada
PR-C3-H24,c3,H2.4,fora_de_amostra,"Fora de amostra e potencialmente refutador: se a DOS de 2013 fosse deliberadamente construída, deveria haver rede produtora identificável antes de junho. A tese sugere o contrário — a pulverização de pautas é emergente.","Rede de produção discursiva documentada e ativa antes de junho de 2013, com frames que efetivamente dominaram o ciclo, refutaria a leitura de emergência e estenderia H2.4 a um caso que a tese trata como espontâneo.",arma_fumegante,Atividade de think tanks e redes editoriais 2011-2013,Registros dos institutos; acervos,2026-08-22,registrada
PR-C3-H25,c3,H2.5,ancora,Âncora: a cobertura da repressão legitima a raiva como emoção política. Não é teste.,Nada neste ciclo refuta H2.5.,palha_ao_vento,Enquadramento emocional pós-13/06,Acervos de imprensa,2026-08-22,registrada
PR-C3-H31,c3,H3.1,ancora,Âncora: este ciclo define o padrão 'fragmentado' da tipologia. Não é teste.,Nada neste ciclo refuta H3.1 — os três padrões foram derivados destes casos.,palha_ao_vento,Indicadores combinados de EOP e DOS,cycle_phases.csv,2026-08-22,registrada
PR-C3-H32,c3,H3.2,fora_de_amostra,Fora de amostra e de alto valor: 2013 é o caso de MENOR eficácia estratégica agregada. H3.2 prevê que isso corresponda a leituras conjunturais pobres ou ausentes — o que a horizontalidade e a recusa de liderança tornam plausível.,"Leitura conjuntural documentadamente precisa por parte do MPL, seguida de perda de controle do ciclo, mostraria que boa leitura não basta — refutando H3.2 como enunciada.",arma_fumegante,Documentos e deliberações do MPL e coletivos; timing,Acervos dos movimentos,2026-08-22,registrada
PR-C3-H33,c3,H3.3,ancora,Âncora: 13/06/2013 como evento-catalisador bifuncional. Não é teste.,Nada neste ciclo refuta H3.3.,palha_ao_vento,Inflexão simultânea de EOP e DOS em 13/06,cycle_phases.csv,2026-08-22,registrada
PR-C3-H34,c3,H3.4,ancora,"Âncora: 2013 legitima frames antipetistas e deslegitima frames de defesa da democracia, pré-moldando a DOS de 2015-16. Não é teste.",Nada neste ciclo refuta H3.4.,palha_ao_vento,Análise longitudinal dos enquadramentos antes e depois,Acervos de imprensa,2026-08-22,registrada
PR-C3-H35,c3,H3.5,ancora,Âncora: o refluxo de junho pré-molda EOP e DOS de 2015-16. Não é teste.,Nada neste ciclo refuta H3.5.,palha_ao_vento,Ausência de reforma política; frames herdados,Diários do Congresso,2026-08-22,registrada
PR-C4-H11,c4,H1.1,fora_de_amostra,"Sistema aberto e competitivo, com eleição presidencial recém-disputada em 2014. H1.1 prevê mobilização multissetorial ampla — o que se observa. O teste está em distinguir efeito de abertura de efeito de polarização.","Se a composição setorial da mobilização de 2015-16 for MENOS heterogênea que a de 1992, apesar de abertura institucional igual ou maior, a abertura não explica a multissetorialidade.",palha_ao_vento,Fragmentação de elites; índice de pluralismo eleitoral; composição setorial das coalizões,TSE; Câmara/Senado,2026-08-22,registrada
PR-C4-H12,c4,H1.2,ancora,"Âncora: crise econômica, Lava Jato e deserção do PMDB precedendo o impeachment. Não é teste.",Nada neste ciclo refuta H1.2. Valor documental: resolver a divergência 61x20 / 61x21 na ata do Diário do Senado.,palha_ao_vento,Deserção do PMDB; votações de 17/04/2016 e 31/08/2016,Diário do Senado Federal; portal da Câmara,2026-08-22,registrada
PR-C4-H13,c4,H1.3,fora_de_amostra,"Fora de amostra: a tese classifica a repressão em 2015-16 como contida. H1.3 prevê ausência de expansão por via repressiva e, por simetria, prevê que a repressão contida decorra do alinhamento entre manifestantes e aliados no aparato estatal.","Repressão significativa documentada em 2015-16 contra manifestações pró-impeachment, sem efeito de expansão, refutaria a leitura de que a contenção é função do alinhamento político.",aro,Registros de intervenção policial; feridos/detidos,Secretarias estaduais de segurança; Anuário FBSP,2026-08-22,registrada
PR-C4-H14,c4,H1.4,ancora,"Âncora: Judiciário/Lava Jato, empresariado, PMDB e mídia hegemônica. Não é teste.",Nada neste ciclo refuta H1.4.,palha_ao_vento,Posição do Judiciário; adesão empresarial,Decisões do STF; registros institucionais,2026-08-22,registrada
PR-C4-H21,c4,H2.1,ancora,"Âncora: Veja, Globo e think tanks liberais produzindo DOS antipetista hegemônica. Não é teste.",Nada neste ciclo refuta H2.1.,palha_ao_vento,Análise de conteúdo da cobertura; presença de think tanks,Acervos de imprensa; registros dos institutos,2026-08-22,registrada
PR-C4-H22,c4,H2.2,fora_de_amostra,Fora de amostra: frame convergente (anticorrupção antipetista) e resultado definido. Confirma por contraposição.,Fragmentação de frames documentada em 2015-16 com resultado ainda assim definido refutaria H2.2.,aro,Heterogeneidade ideológica dos participantes,NEPAC; bancos de eventos,2026-08-22,registrada
PR-C4-H23,c4,H2.3,fora_de_amostra,Fora de amostra: 'anticorrupção' é frame de alta ressonância normativa. H2.3 prevê recrutamento amplo e socialmente heterogêneo.,"Recrutamento concentrado em estrato socioeconômico único, apesar da alta ressonância declarada do frame, refutaria a ligação entre ressonância e amplitude social.",aro,Composição sociológica das manifestações de 2015-16,NEPAC; levantamentos de perfil,2026-08-22,registrada
PR-C4-H24,c4,H2.4,ancora,"Âncora: Instituto Millenium, Instituto Liberal, Veja e Globo construindo DOS antipetista em 2013-2014. Não é teste.",Nada neste ciclo refuta H2.4. O contrafactual está registrado à parte: o Movimento Cansei (2007) é construção deliberada que NÃO pegou (EV-C4-T1-002).,palha_ao_vento,Financiamento e atividade das redes; cobertura acumulada,Registros dos institutos,2026-08-22,registrada
PR-C4-H25,c4,H2.5,fora_de_amostra,Fora de amostra: a candidata é a legitimação do desprezo e da hostilidade partidária como expressão cívica aceitável. H2.5 prevê deslocamento observável nos enquadramentos emocionais entre 2013 e 2015.,"Continuidade dos enquadramentos emocionais entre 2013 e 2015-16, sem deslocamento, enfraqueceria tanto H2.5 quanto H3.4.",aro,Comparação longitudinal dos enquadramentos emocionais,Acervos de imprensa,2026-08-22,registrada
PR-C4-H31,c4,H3.1,ancora,Âncora: este ciclo define o padrão 'construção deliberada' da tipologia. Não é teste.,Nada neste ciclo refuta H3.1 — os três padrões foram derivados destes casos.,palha_ao_vento,Indicadores combinados de EOP e DOS,cycle_phases.csv,2026-08-22,registrada
PR-C4-H32,c4,H3.2,ancora,Âncora: MBL e Vem Pra Rua leem corretamente; a esquerda lê tarde. Não é teste.,Nada neste ciclo refuta H3.2.,palha_ao_vento,Comparação retrospectiva das leituras; timing das decisões,Acervos dos movimentos,2026-08-22,registrada
PR-C4-H33,c4,H3.3,fora_de_amostra,Fora de amostra: candidato bifuncional é a divulgação dos áudios em 16/03/2016 ou a admissibilidade em 17/04/2016. H3.3 prevê que o pico da mobilização seja imediatamente posterior a um desses.,Pico de mobilização desconectado de qualquer evento que abra EOP e DOS ao mesmo tempo refutaria H3.3 neste ciclo.,aro,Datas de inflexão; decisões do STF,Diários; decisões do STF,2026-08-22,registrada
PR-C4-H34,c4,H3.4,nao_pertinente,"NÃO PERTINENTE ao desenho de quatro ciclos: H3.4 mede o legado de um ciclo sobre o SEGUINTE, e o ciclo do impeachment é o último da série. Avaliar seu legado exigiria incorporar 2018 em diante, o que está fora do recorte.","Não se aplica. Registrar como limite declarado do desenho, não como omissão.",,—,—,2026-08-22,registrada
PR-C4-H35,c4,H3.5,nao_pertinente,"NÃO PERTINENTE ao desenho de quatro ciclos: sendo o último ciclo da série, não há ciclo subsequente dentro do recorte sobre o qual medir o condicionamento.",Não se aplica. Limite declarado do desenho.,,—,—,2026-08-22,registrada
